,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Concepte,Rang_soroll,Valor,Lloguer_mitja_mensual,Lloguer_mitja_m2
148,3,Sants-Montjuïc,15,Hostafrancs,TOTAL_D,75-80 dB,0.0,744.8,12.86
149,3,Sants-Montjuïc,15,Hostafrancs,TOTAL_D,>=80 dB,0.0,744.8,12.86
150,3,Sants-Montjuïc,16,la Bordeta,TOTAL_D,<40 dB,1.82,787.14,11.9
151,3,Sants-Montjuïc,16,la Bordeta,TOTAL_D,40-45 dB,20.61,787.14,11.9
152,3,Sants-Montjuïc,16,la Bordeta,TOTAL_D,45-50 dB,8.46,787.14,11.9
153,3,Sants-Montjuïc,16,la Bordeta,TOTAL_D,50-55 dB,10.52,787.14,11.9
154,3,Sants-Montjuïc,16,la Bordeta,TOTAL_D,55-60 dB,12.79,787.14,11.9
155,3,Sants-Montjuïc,16,la Bordeta,TOTAL_D,60-65 dB,16.48,787.14,11.9
156,3,Sants-Montjuïc,16,la Bordeta,TOTAL_D,65-70 dB,28.53,787.14,11.9
157,3,Sants-Montjuïc,16,la Bordeta,TOTAL_D,70-75 dB,0.79,787.14,11.9
158,3,Sants-Montjuïc,16,la Bordeta,TOTAL_D,75-80 dB,0.0,787.14,11.9
159,3,Sants-Montjuïc,16,la Bordeta,TOTAL_D,>=80 dB,0.0,787.14,11.9
160,3,Sants-Montjuïc,17,Sants - Badal,TOTAL_D,<40 dB,7.27,758.25,13.14
161,3,Sants-Montjuïc,17,Sants - Badal,TOTAL_D,40-45 dB,21.45,758.25,13.14
162,3,Sants-Montjuïc,17,Sants - Badal,TOTAL_D,45-50 dB,12.97,758.25,13.14
163,3,Sants-Montjuïc,17,Sants - Badal,TOTAL_D,50-55 dB,4.01,758.25,13.14
164,3,Sants-Montjuïc,17,Sants - Badal,TOTAL_D,55-60 dB,14.14,758.25,13.14
165,3,Sants-Montjuïc,17,Sants - Badal,TOTAL_D,60-65 dB,19.38,758.25,13.14
166,3,Sants-Montjuïc,17,Sants - Badal,TOTAL_D,65-70 dB,12.61,758.25,13.14
167,3,Sants-Montjuïc,17,Sants - Badal,TOTAL_D,70-75 dB,8.17,758.25,13.14
168,3,Sants-Montjuïc,17,Sants - Badal,TOTAL_D,75-80 dB,0.0,758.25,13.14
169,3,Sants-Montjuïc,17,Sants - Badal,TOTAL_D,>=80 dB,0.0,758.25,13.14
170,3,Sants-Montjuïc,18,Sants,TOTAL_D,<40 dB,7.9,784.14,13.15
171,3,Sants-Montjuïc,18,Sants,TOTAL_D,40-45 dB,24.68,784.14,13.15
172,3,Sants-Montjuïc,18,Sants,TOTAL_D,45-50 dB,9.77,784.14,13.15
173,3,Sants-Montjuïc,18,Sants,TOTAL_D,50-55 dB,10.99,784.14,13.15
174,3,Sants-Montjuïc,18,Sants,TOTAL_D,55-60 dB,15.48,784.14,13.15
175,3,Sants-Montjuïc,18,Sants,TOTAL_D,60-65 dB,15.15,784.14,13.15
176,3,Sants-Montjuïc,18,Sants,TOTAL_D,65-70 dB,9.43,784.14,13.15
177,3,Sants-Montjuïc,18,Sants,TOTAL_D,70-75 dB,6.6,784.14,13.15
178,3,Sants-Montjuïc,18,Sants,TOTAL_D,75-80 dB,0.0,784.14,13.15
179,3,Sants-Montjuïc,18,Sants,TOTAL_D,>=80 dB,0.0,784.14,13.15
180,4,Les Corts,19,les Corts,TOTAL_D,<40 dB,0.05,1000.12,14.29
181,4,Les Corts,19,les Corts,TOTAL_D,40-45 dB,16.14,1000.12,14.29
182,4,Les Corts,19,les Corts,TOTAL_D,45-50 dB,12.73,1000.12,14.29
183,4,Les Corts,19,les Corts,TOTAL_D,50-55 dB,7.55,1000.12,14.29
184,4,Les Corts,19,les Corts,TOTAL_D,55-60 dB,15.75,1000.12,14.29
185,4,Les Corts,19,les Corts,TOTAL_D,60-65 dB,22.09,1000.12,14.29
186,4,Les Corts,19,les Corts,TOTAL_D,65-70 dB,14.37,1000.12,14.29
187,4,Les Corts,19,les Corts,TOTAL_D,70-75 dB,11.32,1000.12,14.29
188,4,Les Corts,19,les Corts,TOTAL_D,75-80 dB,0.0,1000.12,14.29
189,4,Les Corts,19,les Corts,TOTAL_D,>=80 dB,0.0,1000.12,14.29
190,4,Les Corts,20,la Maternitat i Sant Ramon,TOTAL_D,<40 dB,0.75,921.15,13.34
191,4,Les Corts,20,la Maternitat i Sant Ramon,TOTAL_D,40-45 dB,20.62,921.15,13.34
192,4,Les Corts,20,la Maternitat i Sant Ramon,TOTAL_D,45-50 dB,12.57,921.15,13.34
193,4,Les Corts,20,la Maternitat i Sant Ramon,TOTAL_D,50-55 dB,8.47,921.15,13.34
